First Name,Last Name,NID,Email Address,Home Address,Gender,Mobile Number,Password
Arlena,Hermine,5673403309,sjava@icloud.com,8385 S Bloomingport Rd,Male,(721) 327-0304,12345
Forest,Mikel,7676749517,roesch@aol.com,"Lynn, Indiana(IN), 47355(765) 453-3383",Female,(894) 229-2927,678910
Harvey,Rodrigo,9437242962,hoyer@live.com,5261 W 400th S,Male,(545) 309-1626,111213
Gwen,Garrett,1098526419,jimxugle@verizon.net,"Russiaville, Indiana(IN), 46979(571) 918-4086",Female,(751) 584-3459,141516
Trula,Felicia,1370856345,rgarton@optonline.net,1396 S King St,Male,(663) 652-6685,17181920
Dwain,Kiera,9620377862,ahuillet@me.com,"Leesburg, Virginia(VA), 20175(419) 375-4307",Female,(568) 578-9510,21222324
Stephani,Graham,2269627134,sinkou@comcast.net,203 Milligan St,Male,(663) 979-5594,25262728
Chandra,Neomi,409151540,citadel@mac.com,"Fort Recovery, Ohio(OH), 45846(508) 943-5430",Female,(285) 304-9437,29303132
Lindy,Matt,2985811243,thurston@icloud.com,75 Charlton Rd,Male,(280) 251-4270,3435363
Chantelle,Alessandra,1816120161,heroine@yahoo.,"Dudley, Massachusetts(MA), 01571(931) 427-8149",Female,(969) 870-1660,606162
